CT_GLDAS,RCP45_SSP2,RCP85_SSP2,RCP85_SSP3,GLOWASIS,Hoekstra,,,
1586.576294,68184,68184.23182,68764.11818,63757.69526,2266.141273,,,
13063.94824,192070,192069.8182,187160.5909,434774.0412,10962.57944,,,
8912686,1318762,1318761.818,1346472.273,0,1766506.495,,,
34202.08203,8526,8526.305455,8554.884545,0,9693.859877,,,
8536.987305,2491,2491.296818,2473.656818,0,4609.219619,,,
13169.72266,11237,11237.19545,11994.91364,0,8789.828083,,,
36727.48828,34875,34875.46364,33880.54091,0,7279.357663,,,
1485.746948,16277,16277.29091,15194.55,0,5159.034195,,,
74693.85938,8960,8959.755,8171.978182,0,11076.44326,,,
118934.3672,32745,32744.63182,28577.46818,0,58344.91456,,,
284531.4063,127846,127846.0909,126625.2273,0,96114.9487,,,
6433482.5,2196600,2207787.273,2240203.636,16614894.87,1066288.325,,,
3516406.5,762426,762612.1364,763852.0909,0,1137972.6,,,
622560.125,400317,400384.0909,401446.5,0,307602.8269,,,
973549,717535,717534.6818,744911.0455,0,634092.8006,,,
1849327.75,340252,340251.5455,337158.8182,0,364990.2843,,,
57032.90625,155497,155497.3636,151924.5,0,42467.86923,,,
44650.28516,120635,120634.5,117156.1364,271791.1303,23385.75594,,,
6262262,506237,506237.4545,492381.2727,30182621,657207.4985,,,
1684469.375,685612,681276.2727,678274.2273,0,149157.1488,,,
14365571,6426783,6377423.182,6318193.636,0,4222713.753,,,
84641.92188,842050,840018.1364,829132.5,1843234.658,118885.6769,,,
38886.29297,183164,183163.9091,176517.4091,1307070.017,17548.70578,,,
127703.0625,126110,126109.7727,122430.9545,0,49549.15959,,,
122271.4375,128851,128851.2273,125097,476651.4003,37433.25246,,,
67223624,74333605,74369018.18,74367109.09,0,5506141.001,,,
7874324,10977082,10986627.27,11006386.36,0,24431.20697,,,
338872.5938,62740,62740.17273,62635.45909,0,682489.1985,,,
22228982,22137245,22160918.18,22169222.73,0,,,,
952.4450073,8159,8158.862727,7451.095909,0,,,,
1200705.625,1376025,1377533.182,1376750.455,0,,,,
3859225.5,3774044,3778110,3772115.455,0,2510.68813,,,
209.761795,79369,79369.11818,70552.45909,457001.2987,296.4777115,,,
610.7913208,82335,82334.89091,74157.68182,0,777.9655847,,,
317368.5938,351098,352131.8182,352037.3182,0,,,,
12194591,9796882,9825709.091,9822940.909,0,1251.297129,,,
31330.62695,37208,37208.08636,35402.56364,0,15697.88679,,,
6592.352051,8202,8202.475909,7815.684545,0,3313.817576,,,
2128.081055,1274,1273.86,1274.308636,0,2633.299474,,,
31207.02539,11775,11775.27273,11802.57273,0,5267.568561,,,
193453.8594,381199,381348.5455,361737.4091,0,37570.85745,,,
2.502459526,734,734.3136818,726.4253182,0,638.5842939,,,
2866611.5,990198,993070.9091,991839.5455,11068615.91,139709.9477,,,
251869.8281,235177,235177.0909,236299.6364,11530311.58,96638.93961,,,
29989.73633,53757,53756.75455,54207.01364,0,22266.45269,,,
43002084,13446014,13510445.45,13519036.36,0,8228413.244,,,
22914536,10024732,10002490.91,10003540.91,0,6320554.392,,,
2171.561279,6968,6967.733182,6707.380909,0,831.1396271,,,
6559.363281,1298010,1293065.455,1292416.364,200877.6814,3535.160901,,,
758.6622925,681,680.9116364,677.4972273,0,503.5535321,,,
30101.99219,20802,20801.74091,19195.33636,88441.43897,10202.97735,,,
38332.51953,34730,34730.08636,28328.23636,75461.37273,24450.03041,,,
80556.14063,544,544.4698636,503.4053182,0,141670.2452,,,
1147.978638,587,586.5290455,532.1877273,0,584.2925294,,,
53945.20313,35823,35701.14545,34529.15455,0,24095.30132,,,
85866.39844,47704,47703.50455,43627.78636,437369.1082,38328.33926,,,
537.3380127,967,967.05,939.9008182,0,910.7911496,,,
62662.48438,108611,108611.0455,104926.5,0,40580.84262,,,
80854.91406,80226,80225.72727,78970.02273,0,38367.1668,,,
1736459.25,756877,754956.6818,751883.0455,0,549136.6428,,,
78775.09375,7866,7865.97,7349.198182,0,2683.787741,,,
69385.73438,95783,95782.90909,95010.77727,0,35426.59288,,,
6109934.5,2186883,2190347.727,2179761.818,12259002.69,1085690.194,,,
16539.50977,54150,54150.02727,52424.11364,565106.6899,11043.24205,,,
39788.76563,76403,76403.25,73579.32273,0,12251.45613,,,
7449.922852,8909,8909.125909,8693.751818,0,4526.433971,,,
121776.3672,93279,93009.28636,92791.36364,0,2266.349459,,,
1223502.75,1654580,1650886.364,1645531.364,5581813.335,227486.4897,,,
19512278,16546950,16500559.09,16499604.55,17130519.87,7893229.514,,,
530670.0625,6798445,6779821.364,6778284.545,1762167.215,379315.597,,,
2755282,262728,262436.0455,263553.8182,0,498510.6341,,,
415690,248626,248248.6364,244364.5909,2708423.138,65275.08386,,,
103123.7266,74180,74179.82727,75361.74545,3692029.715,31533.20944,,,
25.03708076,6510,6509.961818,6511.26,0,,,,
6481.306641,14338,14338.13182,13599.50455,0,2317.399184,,,
574.307373,466,466.1828182,464.6784545,0,,,,
70586856,64620150,64333404.55,64254845.45,0,50104460.89,,,
57060032,67777214,67619809.09,68160272.73,35462982.18,62078872.33,,,
65212616,76656777,76516172.73,76352945.45,51777141.57,64728759.91,,,
10312318,9286381,9189456.818,9155112.273,0,11085450.44,,,
673232576,623907136,619504772.7,619224136.4,436849517.8,472523683.3,,,
17847920,18948682,18774763.64,18852368.18,20133789.06,16338746.34,,,
88586256,78311768,78149781.82,78700363.64,0,42238451.22,,,
169789856,169079591,167649681.8,168241500,231076721.2,158771117.5,,,
234878576,203491909,202177500,202353136.4,0,116072714.9,,,
20470054,20628491,20419731.82,20543536.36,32465847.02,24666236.6,,,
94863872,89137936,88113709.09,88388331.82,111261398.3,48277198.34,,,
132713448,131569773,131002772.7,130470136.4,142571655.3,119466072.9,,,
46014344,40227218,39673868.18,39755768.18,14284376.14,29277394.89,,,
102150784,105462955,105238636.4,105430500,214691528.3,53794605.66,,,
41714316,11924850,11879795.45,11915018.18,0,23095518.5,,,
675212416,682109591,677487681.8,677262409.1,574832275.4,341499905.7,,,
30642904,31706182,31565386.36,31728040.91,0,27712031.86,,,
11605959,10598318,10512122.73,10510690.91,0,5724912.258,,,
148270752,99303273,99080863.64,99105681.82,49877376.56,116901341.4,,,
46726864,42503523,42687463.64,42719154.55,52718296.05,15599904.52,,,
684483328,834350045,833710500,833298136.4,528616210.9,258642958.1,,,
166418928,181071545,180925500,180969409.1,275612304.7,94312612.58,,,
330934176,368736136,367557272.7,367542000,462820831.3,223842056.9,,,
672142656,594047045,595597227.3,595412045.5,197309234.6,218961417,,,
12169009,11101268,10997700,10914081.82,52057033.54,6586632.714,,,
140157440,132851727,132119590.9,131495318.2,61375267.03,34256060.66,,,
62277872,55210623,54707959.09,54735068.18,76758575.44,26593224.48,,,
2613672.75,1349393,1346443.636,1341174.545,5976473.808,473259.1081,,,
3400196.25,1543137,1537830,1537266.818,5538528.442,460614.4387,,,
9147117,6410326,6413925,6371056.364,18832485.2,1649958.203,,,
42269548,71438373,71327931.82,71705072.73,86624801.64,51209037.93,,,
24928042,31636309,31594977.27,31583809.09,0,18488783.98,,,
34665792,28015050,27976104.55,28063731.82,0,24706340.18,,,
15284210,17101159,17082831.82,17128363.64,39962764.74,20685555.94,,,
74231024,102994500,103288500,103270363.6,9095518.112,8043622.228,,,
389162400,523226455,522488590.9,522433227.3,118347267.2,288133369.8,,,
962896.375,1061540,1059660,1041132.273,2709735.87,230126.1656,,,
975835.0625,1370288,1369429.091,1357602.273,386416.2266,423492.3194,,,
1082139.5,965561,967116.8182,967851.8182,6491374.493,464052.3137,,,
310757632,413333455,412751181.8,412771227.3,192624374.4,252102320.3,,,
14467334,17510564,17486986.36,17502163.64,87856651.31,15136064.07,,,
16912004,25018159,25073904.55,25071231.82,2470863.819,2118971.522,,,
749328384,955146818,954181772.7,954374590.9,336653717,486881140.7,,,
71407128,64753691,64774786.36,64466468.18,17349639.89,4969004.826,,,
2046602.875,2594120,2594655,2604181.364,0,6234370.798,,,
347994336,328432364,328608954.5,329043272.7,63753479,158474295.3,,,
1798140.75,1806458,1806715.909,1821883.636,4932286.739,997811.8456,,,
371241952,354929591,355304727.3,355743818.2,0,435739275.8,,,
76589848,72562064,72868472.73,72752877.27,0,27846877.2,,,
206552208,195830727,196660227.3,196426363.6,738297058.1,123025760.1,,,
46371540,43134000,43161109.09,42826827.27,6797169.209,25213655.96,,,
5577949,4341817,4312397.727,4313037.273,11967793.46,215888.6319,,,
59380704,51030095,50896363.64,50863718.18,66003425.6,44799868.04,,,
16870050,14782091,14681004.55,14681768.18,1294803.381,320547.8703,,,
2771908,1973800,1977741.818,2003810.455,1666110.039,1569610.215,,,
29073174,26469641,26327795.45,26328559.09,0,35526648.38,,,
2912796.75,1596878,1587141.818,1587580.909,1657938.48,104550.8121,,,
814216000,1059631364,1063965000,1064003182,452871215.8,208868294.5,,,
68657592,61686641,61308545.45,61304727.27,34843246.46,1771146.643,,,
69766248,33296741,33537286.36,33574322.73,1634747.744,15005077.65,,,
12749932,10497327,10434804.55,10431750,550051.4507,1215076.214,,,
2744929.5,1655955,1653921.818,1653816.818,2290970.564,33484.62063,,,
767271.625,634065,633212.0455,632862.6818,32604.64594,167113.2926,,,
1965846.5,1600019,1598023.636,1597918.636,0,108994.5703,,,
8119986,6336378,6299131.364,6298969.091,3814559.937,1018447.102,,,
3536754.5,3029956,3026472.273,3026453.182,0,128339.4981,,,
1060675.625,25356,25355.87727,25341.17727,55239.25275,71540.5462,,,
645716.5625,79022,79022.14091,79100.7,169838.8159,225058.4967,,,
1295990.375,160634,160633.7727,161091,630427.897,442397.2066,,,
949278,18454,18454.22727,18260.45455,6698875.427,22932.6768,,,
223327488,262295727,263516590.9,263490818.2,16781394.96,31705424.66,,,
40454964,48383905,48594859.09,48583881.82,33494297.03,5889891.005,,,
1959166,3001,3000.565909,3151.746818,2383180.141,10512.91779,,,
217150.1563,46244,46244.00455,46515.57273,543762.8031,140105.261,,,
5652672,3728970,3724588.636,3724655.455,439731.2701,299543.4908,,,
142738.0156,19547,19546.89545,17547.6,0,27550.59295,,,
166225.0156,21360,21359.67273,20328.66818,0,44387.62529,,,
262512.3125,23869,23869.07727,22507.70455,86181.20849,44392.491,,,
104657.7422,4775,4774.540909,4057.190455,0,27727.34956,,,
356440.3438,143241,143241,128104.7727,147668.7789,133646.9673,,,
5.590249062,14,13.83680455,10.96944545,0,,,,
0,1.4859152236347e-311,#VALUE!,1.65786114e-316,0,0,,,
0,1.4900949123154e-311,#VALUE!,1.65786124e-316,0,0,,,
256211.3125,260383,259579.0909,259579.0909,0,,,,
0,1.498226550233e-311,#VALUE!,1.65786143e-316,2146.271057,0,,,
357.2169189,796,796.4937273,625.5861818,0,103.781347,,,
0,1.506079542239e-311,#VALUE!,1.65786163e-316,6451.584864,0,,,
0,1.510063642925e-311,#VALUE!,1.65786173e-316,259793.0431,0,,,
111084296,137617773,137277000,137278909.1,48180793.76,90598887.63,,,
0,1.517956824245e-311,#VALUE!,1.65786193e-316,10795.0177,1854.989736,,,
0,1.5213246887794e-311,#VALUE!,1.65786203e-316,0,253.3758076,,,
0,1.5252364487004e-311,#VALUE!,1.65786213e-316,5812.198855,2242.289817,,,
0,1.529298248728e-311,#VALUE!,1.65786222e-316,0,1019.386822,,,
0,1.5335074095733e-311,#VALUE!,1.6578623e-316,918.2034992,0,,,
0,1.537724608283e-311,#VALUE!,1.6578624e-316,0,0,,,
632658.5,842357,842356.7727,716433.1364,235291.779,376931.0098,,,
0,1.546038437758e-311,#VALUE!,1.6578626e-316,2417.051001,368.2718768,,,
318560.1875,498,498.393,481.0374545,4007.577896,88910.29473,,,
71207.8125,3264,3264.335455,3187.141364,1228517.89,21259.19785,,,
0,8,8.125472727,8.621559545,0,204.5617823,,,
0,1.562457112275e-311,#VALUE!,1.65786306e-316,0,0,,,
0,1.5664653265495e-311,#VALUE!,1.65786316e-316,0,0,,,
157035.5625,2205,2204.532273,2048.492727,11035.61092,44121.48341,,,
8454.901367,892,891.7602273,831.2830909,23763.33252,1852.431021,,,
6741.34082,3574,3574.333636,3364.104545,0,2314.966503,,,
1088710.625,27929,27928.56818,28007.03182,0,104042.1685,,,
0,116,116.1958636,123.2862273,44393.61766,371.7766711,,,
0,165,165.396,175.4884091,4514.472559,499.4277617,,,
0,231,231.2892273,245.4021818,35077.11738,643.2961645,,,
0,441,440.9408182,467.8465909,34351.81826,1319.859683,,,
0,1.603951239596e-311,#VALUE!,1.657864e-316,27012.5363,0,,,
0,1.60816307973e-311,#VALUE!,1.6578641e-316,3016.815986,0,,,
47441.94141,2945,2944.534091,2646.973636,3948.217258,13116.65288,,,
15688.33789,11553,11552.86364,11451.3,8.47E-09,21171.33384,,,
11784.14941,1.620581577834e-311,#VALUE!,1.6578644e-316,0,3006.298807,,,
0,151,151.3689545,160.6051364,0,530.5808444,,,
6645.080566,123,123.0800455,110.1220909,3.69E+01,1725.350133,,,
31403.69727,1.633045623828e-311,#VALUE!,1.6578647e-316,2164.689824,8476.762266,,,
11220.04199,56,55.86610909,48.42790909,0,2736.198432,,,
28780.33984,15746,15745.99091,14741.90455,440.2470659,7851.49924,,,
25997.58203,20388,20388.23182,20423.64545,1.58E+00,26352.99264,,,
58027.28516,48316,48315.65455,48335.79545,21760.21785,59818.40262,,,
4562.541016,4982,4982.345455,4675.487727,0,1578.216112,,,
68167.25,66486,66485.90455,66551.57727,7738.959044,83569.04396,,,
5977.466797,8142,8141.995909,7489.220455,7095.092908,1957.819781,,,
136380.1406,92181,92181.40909,91623.19091,56486.05153,128629.8504,,,
2875.621338,1924,1923.714545,1793.19,0,847.3313127,,,
