,1980
0,0.3514640371127485
1,0.3908144211217663
2,0.35151600197300714
3,0.31332906434771207
4,0.32232486386332115
5,0.2669929833840873
6,0.028393425539726222
7,
8,
9,
10,1.1208361284884438
11,1.120836128488383
12,
13,0.24043246053884648
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,0.05989617249902447
28,
29,
30,
31,
32,
33,
34,
35,3.197680136980904
36,0.589714497698775
37,0.6529186494784621
38,0.5752827546797674
39,0.6559689474748605
40,0.1739678261953294
41,0.2196270757544099
42,0.8549431776217878
43,0.3353204010745711
44,0.6123205504861894
45,0.6058065051776159
46,0.6889558672794245
47,0.8843598067291276
48,1.0604318069891154
49,0.6355640789113445
50,0.23778425372817746
51,0.2339945641053055
52,0.24757413226960698
53,0.39851319155466575
54,1.2426623258454372
55,1.1651591121932743
56,1.1725593495622302
57,1.030957561955662
58,1.1613550658983518
59,0.3550417838741176
60,2.236428507317289
61,0.2767055165378704
62,0.6996935554249717
63,0.32731464530544596
64,0.9758703735268809
65,1.7454774642807216
66,0.2617028838751293
67,0.2960056188270469
68,0.5248405274934812
69,0.12485074851453071
70,0.2966866291782659
71,0.3696647074311191
72,0.30509336996198366
73,0.12485074851479093
74,0.700209884979939
75,0.7592779581714024
76,0.23374800314031863
77,0.3509365303889499
78,0.32356619979965257
79,0.28965706609858083
80,1.9088732527541057
81,0.3287004174751257
82,0.3695678499499521
83,0.4002096474295831
84,0.3896715400068087
85,1.1500256715083652
86,0.42621688549748504
87,1.1749734044677242
88,0.4249331201880117
89,1.1751479907887523
90,0.6778170274792436
91,0.8851437373489806
92,0.8116440586480597
93,0.5172568325261964
94,0.5553809970916128
95,0.46913542865367946
96,0.31383426249940033
97,0.4034837861004768
98,0.26997987614117125
99,0.5763128236517615
100,0.3780620987534142
101,0.5064647101051023
102,0.9738432650933169
103,0.48366935175950937
104,0.5063845738285017
105,0.6360381169784544
106,0.6121553882198144
107,0.5224011864681996
108,0.7004069836098501
109,0.8359744346638966
110,0.880335763753893
111,0.5547785930407506
112,0.9832074448980775
113,1.046854024325334
114,0.9377099472759041
115,0.7381507526434207
116,1.256512906141729
117,0.7131640382358694
118,0.8158602763215862
119,0.7844793415931349
120,0.6285258201534086
121,0.9511948140689002
122,1.2760091897614527
123,0.7815399940463287
124,0.7046506170234826
125,1.3430549702416956
126,0.7578448090913504
127,1.2711007919550605
128,1.2512972818020816
129,0.8758526980266982
130,1.079130105275596
131,1.0145256814188666
132,1.1918375709963744
133,1.36404976543117
134,1.3270313031747385
135,1.351706290518652
136,1.3645415157299245
137,1.2646458833649368
138,0.4177135778647516
139,0.3673319465935744
140,0.3515160019719516
141,0.3140772454568864
