BasinID,UT,CT,BA,BWS,WSV,SV,RO
1,44275040,32789202,57885227.66,0.764876321,0.630591827,0.498119255,55968724.9
2,226457552,173501360,80956454.49,2.797276059,0.682223779,0.558207641,77852861.22
3,103807200,75554672,42045120.31,2.468947627,0.632267827,0.497925092,40660284.96
4,55981072,20746920,45781910.31,1.222777111,0.535146227,0.351470394,44733271.77
5,9867032,1901189.75,44916783.46,0.219673611,0.704005233,0.359893414,44919353.31
6,43229908,25153458,35294262.74,1.224842358,0.820136432,0.39175155,35360966.55
7,122957312,88134048,3672950.652,33.47643997,0.952897921,0.25319857,3629572.199
8,27295608,6600697.5,45944.63879,594.097782,1.497983164,0.885231176,47424.67548
9,44794272,6881603,198431.3087,225.7419572,1.590318806,1.172445009,204726.4939
10,877468672,596488000,271931.7863,3226.796999,1.379863277,1.324394713,265813.4166
11,1095684736,736921600,2504887.235,437.418787,1.276064608,0.593567165,2554548.966
12,49734844,34284288,1220363.506,40.75412266,1.331523782,0.515351775,1250882.472
13,1397570,751652.625,31684.11353,44.10948719,3.435196246,2.409606737,26438.39926
14,51,8.273667336,384936858.9,1.32E-07,0.504279523,0.274865283,52795.4994
15,5447525,804782.625,433564.1011,12.56452042,1.126553589,0.926446518,437333.5578
16,6616353,4428713.5,33161.82766,199.5171396,3.414752914,2.643234464,29829.38662
17,20684300,11956059,507072.1296,40.79163257,2.339900917,1.514716012,332692.2548
18,1010276,179874.6719,254305.2263,3.97269067,1.223269542,0.90729141,253493.3429
19,6402785,1164909,306744.8135,20.87332766,1.186150025,0.899190427,306338.9808
20,54336020,38466596,20143.26786,2697.477905,3.80788687,1.93735195,15859.6401
21,101697832,74655440,48565.30117,2094.043063,3.547360183,1.822094042,40743.68908
22,4893084,859636.25,322205.068,15.18624158,1.244863076,0.85755267,329797.0087
23,11241940,2016106,323853.9379,34.7129946,1.62059338,0.558360242,334472.0998
24,2428853,338325.9375,191500.7945,12.68325286,1.929407523,1.16438764,197779.5091
25,1672157,1100670.375,135781.9851,12.31501365,4.182383564,1.81670967,139856.2429
26,2194962,287275.8125,360977.2696,6.080610014,1.71667266,0.897718234,372812.5899
27,8096460,1225191,211466.3942,38.2872183,1.606863217,0.850385419,218399.7186
28,106154640,59359296,49945414.04,2.125413154,0.914568895,0.270540545,50565716.25
29,805613,147181.1094,0,inf,,,0
30,64797872,32843502,578505.3118,112.0091219,3.603934486,1.866590263,597472.6991
31,174478,27323.85938,4766.399895,36.60582491,2.78433204,0.921926725,4654.976946
32,140296,18421.07617,36246.10184,3.870650715,2.975803536,1.815306838,37415.37731
