,1980
0,54964483.15893638
1,76151094.31961311
2,39934343.331824735
3,43863574.08295901
4,43428835.52367705
5,35190023.88628032
6,3749883.3033965486
7,510.54741325949504
8,4084.379306078952
9,0.0
10,1998105.6038833102
11,1072552.59935979
12,0.0
13,52337.70827991312
14,285032.2890664327
15,0.0
16,0.0
17,249668.48148992463
18,301540.5239150247
19,0.0
20,0.0
21,308806.8573624167
22,224909.79984759114
23,5739.329686460952
24,0.0
25,395298.7564314954
26,226710.02114637353
27,49925976.63888773
28,0.0
29,0.0
30,0.0
31,0.0
32,2911888.3385165734
33,1784344.4000903892
34,3485095.1528166137
35,3239320.7135447403
36,37079589.22026114
37,7293069.473543275
38,16256850.276478851
39,6296908.728429179
40,18946931.47834442
41,30435670.294794098
42,152431151.04741967
43,82474566.56816722
44,28096312.60843338
45,48460893.16205819
46,66326301.05776292
47,112193232.56139249
48,102390385.60166012
49,54239905.87421245
50,68284907.01799558
51,44423086.99805164
52,108640389.07553771
53,63629999.2100967
54,925125268.6522981
55,206840829.10316855
56,292994099.0470997
57,1360217084.583705
58,5534315846.158854
59,49573146.395253785
60,101724.38559171851
61,53595161.40006001
62,922212.4776182717
63,951534615.5181473
64,2361170.5516882287
65,1510866.848578334
66,161351054.61493936
67,232944669.44649675
68,2393173814.2690167
69,50740634.446997054
70,12408521.374260003
71,22262834.588845577
72,12789007.664804101
73,92646540.17737342
74,54543429.71776542
75,19397042.124979902
76,231837306.47105083
77,230292987.06505412
78,138476318.2626656
79,35737010.181323946
80,2295369.921840885
81,21607632.091564264
82,9154337.605035
83,5644172.653003534
84,14608349.661047705
85,2317744064.628574
86,8920065.584793445
87,388459446.8604983
88,19042839.317934267
89,282424997.129859
90,54701955.13710165
91,4192355019.66818
92,38181931.120731145
93,945221200.9648035
94,2274193245.5145574
95,2581431662.711755
96,94056891.0371295
97,108751490.44180985
98,60132798.282711476
99,3856695445.942755
100,251239566.19281816
101,2867503521.7321806
102,40796691.13667147
103,3049975430.246066
104,1083021859.44941
105,134938138.57739443
106,1099480145.045836
107,45834524.071177684
108,438350281.6747836
109,493163638.46545905
110,475338573.16752464
111,259006924.85542786
112,968918452.3644588
113,733148655.387046
114,299172364.30350494
115,1678874914.0334933
116,255825064.33195737
117,143455995.36069196
118,71665149.57471152
119,10262970155.487543
120,328426854.2579345
121,202387068.63311255
122,321163393.9187889
123,921121281.915372
124,62502362.58627541
125,509346233.3700827
126,84143362.14465082
127,776981666.5565755
128,107926166.60953246
129,1117802749.412479
130,208928226.00697207
131,790393992.0561639
132,570228237.4842082
133,5745802614.893116
134,417870719.9665442
135,726360755.7875572
136,906641617.5914423
137,9617114189.636557
138,55769552.47244919
139,71941635.37386718
140,9156582.367668198
141,59628211.435390145
142,20890187.74840394
143,428252.0717530163
144,0.0
145,0.0
146,432145.7285848377
147,129405.14046973457
148,334495.99865871633
149,17640.389155570425
150,0.0
151,468164.3226227047
152,27968.261068718155
153,38827.732399443936
154,0.0
155,0.0
156,3629.682253348492
157,0.0
158,411888.6988284803
159,2175932.221702649
160,14552321.64753692
161,17322178.004027057
162,3440772.2974487045
163,6879170.675175575
164,9754277.5952041
165,285976.7762185972
166,74908906.75656
167,82695879.32159065
168,23672097.161215894
169,5765120.890777345
170,35799281.531770654
171,359943900.9934079
172,168622229.10697788
173,75584437.34223181
174,16157078.004885247
175,27749384.827885732
176,35213489.70650803
177,84458822.56348638
178,171824157.03942952
179,58293440.75206737
180,50984968.31296133
181,4818942.93630377
182,89652150.6630982
183,39080676.80384623
184,56456823.041152455
185,455914.14367146743
186,80643874.68805085
187,1645378.1735526363
188,233448.76407221812
189,22999.878233713942
190,48543639.3862098
191,4885595.163856771
192,13216.420857582621
193,554855.0852660639
194,662672.7163109573
195,974416.3596808903
196,129202.94778916759
197,434576.39138366893
198,182970.65095213772
199,6845736.783671475
200,732813.1568315674
201,179274.52245514267
202,9968943.980809674
203,486602.27523539343
204,1646788.758912754
205,13102323.86693705
206,14066883.34337984
207,55088090.95200001
208,95988788.04853223
209,93096966.93669426
210,32617126.432072952
211,11730341.632420983
212,154906264.226994
213,249747218.90185088
214,54974884.23222736
215,93650341.61698246
216,370602012.4369429
217,288068724.3995303
218,453962838.4737361
219,103012485.54009905
220,86281315.53828211
221,209993676.7773831
222,152049518.8780915
223,91164337.39380002
224,80850451.44339168
225,412482662.0359609
226,45617392.61262278
227,983695264.919836
228,255193930.833718
229,337941260.3669016
230,553559274.9102131
231,858292030.2315243
232,4317167.991575524
233,0.0
234,0.0
235,0.0
236,38584.58321452648
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,14136040.123230003
244,6138796.171646005
245,590022.3864153292
246,4606713.2477801
247,126730778.21399508
248,1955349.8036735905
249,389274526.02473116
250,163535173.0105984
251,28612488.79220803
252,335687601.65926063
253,255883754.32007548
254,22191933.21466262
255,33356095.606402293
256,1881525.7337985905
257,109829931.56256229
258,216685379.53515244
259,1068617.6653309178
260,1640971.923445755
261,23788632.70792278
262,114790727.91124262
263,1343714.3091538197
264,184065274.03158358
265,112512711.71624425
266,97816501.86185722
267,6832310.814041787
268,221942902.70496228
269,196321774.57525408
270,41601683.42932835
271,59054444.74634228
272,11891455.476538641
273,8433007.425983638
274,133755945.29048915
275,74838792.98254262
276,81933668.8452359
277,66623915.32134313
278,87472583.73441479
279,20497892.97498525
280,5260968.011282788
281,18775094.08450705
282,207355.15647977378
283,211133767.24021152
284,308806561.1645739
285,508991476.99557066
286,93929754.23331475
287,2468569305.4648037
288,172031442.70481965
289,123842031.08797212
290,1267626069.7992623
291,273420458.17556226
292,102267728.7325277
293,520694920.2070215
294,1095499252.1477377
295,272160118.54850656
296,205385238.97758192
297,151936608.6080541
298,4612132339.1891
299,156763021.75780806
300,147709651.77563605
301,448667486.98256046
302,377053815.1627032
303,2043425815.5702457
304,533631386.21326566
305,143432651.41178656
306,4966036194.381806
307,236382952.95205075
308,2362113745.2922454
309,582757700.1940655
310,207762033.262882
311,91030369.85151637
312,142977358.5129869
313,1030257097.1760749
314,182362842.13339776
315,78291885.05328919
316,114777757.21257505
317,328493499.21857214
318,269126117.06570977
319,312036640.26715904
320,438537405.61652446
321,75498729.5789344
322,127954016.45875248
323,66029319.75119653
324,124440745.39182952
325,972923865.0330491
326,398644464.3970491
327,39950709.43794196
328,59816519.42068034
329,71058888.97033884
330,55089135.9635295
331,23077147.47633886
332,46749561.75787706
333,115214042.71927045
334,262118570.9751115
335,67966935.44227211
336,265515580.70425245
337,45197295.40129459
338,87615407.94637212
339,85420017.26876393
340,413875353.50548047
341,75667994.56610817
342,125899447.04756725
343,99221966.42305736
344,24092725.568882797
345,66979287.90275996
346,40785100.9211805
347,50710881.57715574
348,30279553.88574591
349,28057589.38410163
350,84752453.88336717
351,137076090.15101635
352,45866211.98852624
353,105251406.09043607
354,21210191.505725242
355,18482879.75027591
356,54005403.20441966
357,73636049.9274262
358,4912095.360917543
359,3993927.620920477
360,5683858.869593461
361,2671753.3609511154
362,39002711.11272295
363,3070.0939273694953
364,639503.3928031761
365,1334503.1881132473
366,0.0
367,3872781.67468608
368,0.0
369,1462256.7370743537
370,14691161.857285172
371,0.0
372,208563.8920824292
373,0.0
374,0.0
375,0.0
