,2010,2020,2030,2040
0,25648922.727272727,26965336.363636363,30767481.818181816,35135004.54545455
1,140230363.63636363,142410545.45454547,147025772.72727272,151473000.0
2,59369863.63636363,59870236.36363637,60478472.72727273,60755195.45454545
3,752889.1363636364,1152031.3636363635,1583676.8181818181,1882554.5454545454
4,1303651.3636363635,2596583.1818181816,4942140.0,7476715.909090909
5,31540472.727272727,35575527.27272727,40984840.90909091,46235413.63636363
6,86853136.36363636,94607959.0909091,105169909.0909091,115308136.36363636
7,7870446.818181818,11273468.181818182,15999136.363636363,20580477.272727273
8,31953600.0,42068345.45454545,56574668.18181818,70408990.9090909
9,627332045.4545455,641815363.6363636,661291909.0909091,679371000.0
10,782659500.0,804958636.3636364,832104954.5454545,854485227.2727273
11,51475390.90909091,56126127.27272727,62341268.18181818,67780172.72727273
12,1120531.3636363635,4731968.181818182,17190218.181818184,32367109.09090909
13,1870.9281818181814,2844.201818181818,3870.73909090909,4543.101818181819
14,2894019.5454545454,4417311.818181818,6498669.545454546,8611355.454545455
15,5361748.636363637,5702215.909090909,6045480.0,6267583.636363637
16,16297145.454545455,22079590.90909091,38548650.0,57778254.54545455
17,36629.822727272716,63109.009090909065,102081.95454545454,154986.68181818182
18,44742.2181818182,76167.57272727275,121851.54545454546,182762.04545454544
19,49835959.09090909,52001918.18181818,54435722.72727273,56303386.36363637
20,104738454.54545455,110488636.36363636,117159000.0,122280136.36363636
21,46913.52272727273,82288.5,134962.22727272726,207182.18181818182
22,62947.881818181806,111690.40909090909,184642.5,285075.95454545453
23,187113.81818181818,346351.0909090909,588692.0454545454,927877.3636363636
24,12027654.545454545,15964581.818181818,20705427.272727273,24392931.818181816
25,651396.1363636364,1229292.2727272727,2115177.272727273,3363035.4545454546
26,506898.95454545453,955538.1818181818,1642935.0,2610863.1818181816
27,67353681.81818181,84965236.36363636,136524818.1818182,198160772.72727272
28,88560.72272727269,162891.27272727274,275699.45454545453,433246.2272727273
29,32153481.818181816,38971990.90909091,57279504.54545455,79188231.81818181
30,20597.75454545454,27328.73181818181,34623.081818181825,41231.87727272729
31,9882.218181818178,12648.490909090904,15525.39545454546,17757.69545454545
32,115230.81818181818,153032.72727272726,192124.22727272726,223004.72727272726
33,9529.780909090905,14064.559090909084,19309.309090909086,23734.868181818172
34,16187.754545454542,24122.700000000008,33303.518181818195,41119.14545454544
35,20779.786363636358,35655.04090909092,57512.7,84300.68181818182
36,1627710.0,2768220.0,4731385.909090909,7351851.818181818
37,532300.3636363636,912788.8636363636,1549427.7272727273,2429747.727272727
38,916100.1818181818,1710115.9090909092,3053753.1818181816,4936680.0
39,1121180.4545454546,1771846.3636363635,2840775.0,4287970.909090909
40,52523959.09090909,67044981.81818182,92427490.9090909,116006863.63636364
41,85840.26818181814,127902.40909090909,194543.04545454544,293981.86363636365
42,225190.63636363635,326242.63636363635,453143.7272727273,567495.4090909091
43,75195.36818181821,111005.04545454546,154507.5,193362.27272727274
44,76314.66818181815,95337.51818181816,150957.54545454544,235781.31818181818
45,3555681.8181818184,2017164.5454545454,2070380.4545454546,2804235.0
46,6809803.636363637,8461090.909090908,13921377.272727273,21314809.09090909
47,15054422.727272727,16392313.636363637,18350181.818181816,24108763.636363637
